id,Number of reported deaths from cholera,Cholera case fatality rate,WHO Region
719,0,0,Europe
720,,,Europe
721,,,Europe
722,0,0,Europe
723,0,0,Europe
724,0,0,Europe
725,0,0,Europe
726,0,0,Europe
727,0,0,Europe
728,0,0,Europe
729,0,0,Europe
730,1,16.67,Europe
731,,,Europe
732,0,0,Europe
733,0,0,Europe
734,0,0,Europe
735,0,0,Europe
736,0,0,Europe
737,,,Europe
738,0,0,Europe
739,0,0,Europe
740,0,0,Europe
741,0,0,Europe
742,0,0,Europe
743,0,0,Europe
744,0,0,Europe
745,0,0,Europe
746,0,0,Africa
747,0,0,Africa
748,0,0,Africa
749,0,0,Africa
750,,,Africa
751,0,0,Africa
752,2,40,Africa
753,0,0,Africa
754,1,8.33,Africa
755,0,0,Africa
756,13,6.07,Africa
757,0,0,Africa
758,0,0,Africa
759,0,0,Africa
760,0,0,Africa
761,0,0,Europe
762,Unknown,Unknown,Europe
763,0,0,Europe
764,0,0,Europe
765,1,25,Europe
766,0,0,Europe
767,0,0,Europe
768,0,0,Europe
769,,,Europe
770,,,Europe
771,,,Europe
772,,,Europe
773,0,0,Europe
774,,,Europe
775,0,0,Europe
776,0,0,Europe
777,0,0,Europe
778,0,0,Europe
779,0,0,Europe
780,0,0,Europe
781,0,0,Europe
782,0,0,Europe
783,0,0,Europe
784,0,0,Europe
785,0,0,Europe
786,0,0,Europe
787,0,0,Europe
788,0,0,Europe
789,,,Europe
790,0,0,Europe
791,0,0,Europe
792,0,0,Europe
793,0,0,Europe
794,0,0,Africa
795,8,1.2,Africa
796,243,0.8,Africa
797,0,0,Africa
798,100,1.05,Africa
799,105,0.99,Africa
800,3,0.68,Africa
801,9,0.7,Africa
802,25,2.04,Africa
803,18,10.06,Africa
804,107,3.19,Africa
805,51,1.61,Africa
806,6,1.47,Africa
807,4,1.96,Africa
808,65,1.8,Africa
809,160,2.92,Africa
810,74,2.22,Africa
811,260,2.76,Africa
812,108,3.15,Africa
813,12,3.17,Africa
814,70,4.2,Africa
815,93,1.98,Africa
816,54,2.38,Africa
817,38,2.62,Africa
818,23,10.09,Africa
819,409,3.11,Africa
820,60,2.04,Africa
821,0,0,Africa
822,92,9.06,Africa
823,819,5.78,Africa
824,1225,11.09,Africa
825,62,6.57,Africa
826,21,8.08,Africa
827,113,6.34,Africa
828,120,6.48,Africa
829,353,5.38,Africa
830,0,0,Africa
831,10,5.35,Africa
832,37,7.66,Africa
833,39,5.76,Africa
834,32,5.12,Africa
835,641,4.91,Africa
836,180,6.59,Africa
837,0,0,Europe
838,0,0,Europe
839,,,Americas
840,0,0,Americas
841,0,0,Americas
842,6,0.98,Americas
843,0,0,Americas
844,57,0.95,Americas
845,0,0,Americas
846,14,0.89,Americas
847,95,1.19,Americas
848,36,0.68,Americas
849,306,1,Americas
850,207,1.34,Americas
851,50,1.36,Americas
852,0,0,Africa
853,32,10.03,Africa
854,133,1.81,Africa
855,0,0,Africa
856,0,0,Africa
857,32,6.24,Africa
858,311,3.64,Africa
859,219,6.76,Africa
860,107,2.8,Africa
861,117,7.72,Africa
862,1,16.67,Africa
863,11,18.03,Africa
864,22,5.61,Africa
865,32,6.17,Africa
866,28,4.67,Africa
867,53,6.02,Africa
868,17,5.92,Africa
869,565,8.68,Africa
870,671,2.14,Africa
871,58,20.28,Africa
872,60,3,Africa
873,2,18.2,Africa
874,28,2.89,Africa
875,22,0.72,Africa
876,0,0,Africa
877,225,1.57,Africa
878,8,5.23,Africa
879,0,0,Africa
880,399,1.59,Africa
881,3,1.94,Africa
882,2,0.69,Africa
883,6,0.71,Africa
884,2,1.59,Africa
885,905,4.4,Africa
886,84,1,Africa
887,0,0,Africa
888,285,1.86,Africa
889,68,1.13,Africa
890,50,25,Africa
891,2,3.03,Americas
892,8,1.39,Americas
893,447,1.1,Americas
894,322,0.9,Americas
895,296,1.1,Americas
896,593,1.01,Americas
897,894,0.8,Americas
898,2869,0.84,Americas
899,3990,2.22,Americas
900,0,0,Americas
901,0,0,Americas
902,3,5.36,Americas
903,13,4.25,Americas
904,1,1,Americas
905,14,1.98,Americas
906,77,1.63,Americas
907,102,2.02,Americas
908,102,2.54,Americas
909,17,4.18,Americas
910,0,0,Americas
911,0,0,Europe
912,3,0.4,South-East Asia
913,4,0.4,South-East Asia
914,21,0.5,South-East Asia
915,54,0.9,South-East Asia
916,9,0.17,South-East Asia
917,1,0.04,South-East Asia
918,3,0.11,South-East Asia
919,3,0.15,South-East Asia
920,6,0.19,South-East Asia
921,7,0.15,South-East Asia
922,2,0.07,South-East Asia
923,10,0.29,South-East Asia
924,6,0.15,South-East Asia
925,20,0.49,South-East Asia
926,6,0.16,South-East Asia
927,11,0.15,South-East Asia
928,16,0.58,South-East Asia
929,34,0.77,South-East Asia
930,5,0.15,South-East Asia
931,32,0.64,South-East Asia
932,51,0.42,South-East Asia
933,55,0.8,South-East Asia
934,149,2.13,South-East Asia
935,83,2.32,South-East Asia
936,93,1.65,South-East Asia
937,380,2.21,South-East Asia
938,240,2.01,South-East Asia
939,70,1.66,South-East Asia
940,155,2.67,South-East Asia
941,27,1.07,South-East Asia
942,309,3.62,South-East Asia
943,213,4.57,South-East Asia
944,150,3.2,South-East Asia
945,307,3.68,South-East Asia
946,113,2.23,South-East Asia
947,246,2.32,South-East Asia
948,289,3.45,South-East Asia
949,662,4.43,South-East Asia
950,2330,10.57,South-East Asia
951,2289,7.41,South-East Asia
952,5406,12.99,South-East Asia
953,2845,13.92,South-East Asia
954,10478,14.68,South-East Asia
955,3420,22.7,South-East Asia
956,,,South-East Asia
957,,,South-East Asia
958,,,South-East Asia
959,2799,21.45,South-East Asia
960,12664,29.67,South-East Asia
961,17035,32.13,South-East Asia
962,16357,36.48,South-East Asia
963,27141,53.13,South-East Asia
964,26946,56.57,South-East Asia
965,,,South-East Asia
966,7696,51.82,South-East Asia
967,49818,74.52,South-East Asia
968,49715,90.46,South-East Asia
969,17206,43.2,South-East Asia
970,7662,32.56,South-East Asia
971,19368,87.46,South-East Asia
972,124227,58.26,South-East Asia
973,58252,57.4,South-East Asia
974,41543,47.87,South-East Asia
975,396,63.36,South-East Asia
976,27,2.68,South-East Asia
977,19,1.42,South-East Asia
978,6,1.07,South-East Asia
979,0,0,South-East Asia
980,0,0,South-East Asia
981,0,0,South-East Asia
982,25,0.7,South-East Asia
983,0,0,South-East Asia
984,55,0.89,South-East Asia
985,0,0,South-East Asia
986,0,0,South-East Asia
987,0,0,South-East Asia
988,18,2.73,South-East Asia
989,391,3.28,South-East Asia
990,85,1.8,South-East Asia
991,59,0.74,South-East Asia
992,346,2.5,South-East Asia
993,535,5.15,South-East Asia
994,463,2.52,South-East Asia
995,150,2.71,South-East Asia
996,769,4.09,South-East Asia
997,507,4.75,South-East Asia
998,780,4.56,South-East Asia
999,2665,6.46,South-East Asia
1000,3715,7.68,South-East Asia
1001,3920,9.45,South-East Asia
1002,3058,5.88,South-East Asia
1003,6956,15.67,South-East Asia
1004,3607,15.31,South-East Asia
1005,1257,20.96,South-East Asia
1006,262,41.79,South-East Asia
1007,22,16.3,South-East Asia
1008,139,19.86,South-East Asia
1009,36,17.65,South-East Asia
1010,69,21.17,South-East Asia
1011,83,15.51,South-East Asia
1012,80,18.69,South-East Asia
1013,474,27.21,South-East Asia
1014,22,53.66,South-East Asia
1015,1,1.2,Eastern Mediterranean
1016,7,2.73,Eastern Mediterranean
1017,0,0,Eastern Mediterranean
1018,12,1.01,Eastern Mediterranean
1019,4,5.56,Eastern Mediterranean
1020,0,0,Eastern Mediterranean
1021,11,0.97,Eastern Mediterranean
